training objective,layer,variables localized,interchange intervention accuracy
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9120000004768372
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.9160000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.671999990940094
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.925000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9049999713897704
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8730000257492065
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6650000214576721
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.962000012397766
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9729999899864196
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9449999928474426
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7139999866485596
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9549999833106996
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9480000138282776
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9160000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7710000276565552
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9490000009536744
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.944000005722046
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9449999928474426
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.878000020980835
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.921999990940094
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9070000052452089
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8730000257492065
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6850000023841858
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9330000281333924
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9210000038146972
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.906000018119812
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6259999871253967
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9269999861717224
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9240000247955322
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8840000033378601
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.722000002861023
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9070000052452089
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8939999938011169
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8690000176429749
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7319999933242798
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.953000009059906
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9559999704360962
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9200000166893004
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.765999972820282
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.925000011920929
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8790000081062317
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7210000157356262
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9509999752044678
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.949999988079071
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.531000018119812
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9179999828338624
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9240000247955322
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8930000066757202
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6899999976158142
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9470000267028807
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9200000166893004
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.5899999737739563
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9229999780654908
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9340000152587892
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8899999856948853
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.8100000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9160000085830688
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9039999842643738
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8220000267028809
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9660000205039978
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9660000205039978
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.703000009059906
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9269999861717224
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9300000071525574
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8840000033378601
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7009999752044678
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9380000233650208
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9330000281333924
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9539999961853028
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.7850000262260437
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9279999732971193
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9169999957084656
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8920000195503235
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.6869999766349792
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9290000200271606
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.8949999809265137
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8960000276565552
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.5879999995231628
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9390000104904176
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.915000021457672
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8740000128746033
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7129999995231628
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.8989999890327454
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9089999794960022
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8629999756813049
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7329999804496765
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9670000076293944
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9539999961853028
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9330000281333924
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.699999988079071
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9409999847412108
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9430000185966492
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9100000262260436
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7429999709129333
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9330000281333924
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9549999833106996
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9470000267028807
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5479999780654907
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9169999957084656
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8690000176429749
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7059999704360962
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9190000295639038
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8960000276565552
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6290000081062317
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9010000228881836
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.921999990940094
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8700000047683716
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7139999866485596
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.902999997138977
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9020000100135804
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8679999709129333
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7170000076293945
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9459999799728394
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9490000009536744
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7059999704360962
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9399999976158142
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9399999976158142
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8840000033378601
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7549999952316284
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9520000219345092
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.944000005722046
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.4839999973773956
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9259999990463256
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9010000228881836
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8880000114440918
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7099999785423279
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6129999756813049
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9089999794960022
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9049999713897704
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8970000147819519
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.8019999861717224
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9169999957084656
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9300000071525574
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9259999990463256
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7379999756813049
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9480000138282776
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.949999988079071
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.722000002861023
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9390000104904176
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9330000281333924
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8949999809265137
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6769999861717224
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9409999847412108
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9359999895095824
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9279999732971193
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.6990000009536743
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9160000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9089999794960022
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8980000019073486
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.7699999809265137
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.930999994277954
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.8930000066757202
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9169999957084656
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7680000066757202
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9319999814033508
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9089999794960022
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8999999761581421
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7160000205039978
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9139999747276306
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8859999775886536
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8740000128746033
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6570000052452087
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.915000021457672
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7960000038146973
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9369999766349792
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9470000267028807
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.925000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.6399999856948853
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9610000252723694
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9269999861717224
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.4909999966621399
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9179999828338624
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9169999957084656
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8939999938011169
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6579999923706055
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9160000085830688
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.597000002861023
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9200000166893004
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9190000295639038
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8700000047683716
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6190000176429749
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9259999990463256
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9039999842643738
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8970000147819519
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.6779999732971191
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9539999961853028
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9509999752044678
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9399999976158142
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6930000185966492
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9480000138282776
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.9139999747276306
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7609999775886536
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9399999976158142
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9480000138282776
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9670000076293944
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5950000286102295
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9100000262260436
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.921999990940094
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8859999775886536
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.753000020980835
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9399999976158142
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9399999976158142
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9190000295639038
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.5920000076293945
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9330000281333924
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9210000038146972
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9070000052452089
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.6890000104904175
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9240000247955322
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9139999747276306
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7829999923706055
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9679999947547911
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9679999947547911
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.915000021457672
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7570000290870667
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9380000233650208
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9409999847412108
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8769999742507935
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6779999732971191
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9419999718666076
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9539999961853028
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.781000018119812
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9190000295639038
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9200000166893004
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9290000200271606
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.5320000052452087
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.925000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9269999861717224
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8989999890327454
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6489999890327454
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9110000133514404
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8889999985694885
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6520000100135803
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9010000228881836
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8970000147819519
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6800000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9539999961853028
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9610000252723694
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9430000185966492
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7269999980926514
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9430000185966492
