,model,variables,layer,accuracy
86,273,"[0, 1, 2]",conv3,0.925000011920929
87,273,"[0, 1, 2]",fc1,0.8080000281333923
88,273,"[0, 1]",conv1,0.9070000052452087
89,273,"[0, 1]",conv2,0.8960000276565552
90,273,"[0, 1]",conv3,0.8830000162124634
91,273,"[0, 1]",fc1,0.7089999914169312
92,273,"[0, 2]",conv1,0.9139999747276306
93,273,"[0, 2]",conv2,0.9269999861717224
94,273,"[0, 2]",conv3,0.8970000147819519
95,273,"[0, 2]",fc1,0.6620000004768372
96,273,"[1, 2]",conv1,0.9139999747276306
97,273,"[1, 2]",conv2,0.9160000085830688
98,273,"[1, 2]",conv3,0.8579999804496765
99,273,"[1, 2]",fc1,0.6200000047683716
100,273,[0],conv1,0.8960000276565552
101,273,[0],conv2,0.9179999828338623
102,273,[0],conv3,0.8830000162124634
103,273,[0],fc1,0.718999981880188
104,273,[1],conv1,0.9570000171661377
105,273,[1],conv2,0.9549999833106995
106,273,[1],conv3,0.9449999928474426
107,273,[1],fc1,0.6869999766349792
108,273,[2],conv1,0.9290000200271606
109,273,[2],conv2,0.9210000038146973
110,273,[2],conv3,0.9020000100135803
111,273,[2],fc1,0.6520000100135803
112,274,"[0, 1, 2]",conv1,0.9430000185966492
113,274,"[0, 1, 2]",conv2,0.9490000009536743
114,274,"[0, 1, 2]",conv3,0.9459999799728394
115,274,"[0, 1, 2]",fc1,0.5249999761581421
116,274,"[0, 1]",conv1,0.9169999957084656
117,274,"[0, 1]",conv2,0.9039999842643738
118,274,"[0, 1]",conv3,0.8830000162124634
119,274,"[0, 1]",fc1,0.6620000004768372
120,274,"[0, 2]",conv1,0.9409999847412109
121,274,"[0, 2]",conv2,0.9449999928474426
122,274,"[0, 2]",conv3,0.9279999732971191
123,274,"[0, 2]",fc1,0.5889999866485596
124,274,"[1, 2]",conv1,0.9150000214576721
125,274,"[1, 2]",conv2,0.9010000228881836
126,274,"[1, 2]",conv3,0.9020000100135803
127,274,"[1, 2]",fc1,0.5699999928474426
128,274,[0],conv1,0.9269999861717224
129,274,[0],conv2,0.9319999814033508
130,274,[0],conv3,0.9110000133514404
131,274,[0],fc1,0.7739999890327454
132,274,[1],conv1,0.9670000076293945
133,274,[1],conv2,0.9549999833106995
134,274,[1],conv3,0.9369999766349792
135,274,[1],fc1,0.703000009059906
136,274,[2],conv1,0.9200000166893005
137,274,[2],conv2,0.9369999766349792
138,274,[2],conv3,0.8989999890327454
139,274,[2],fc1,0.6340000033378601
140,275,"[0, 1, 2]",conv1,0.9269999861717224
141,275,"[0, 1, 2]",conv2,0.9039999842643738
142,275,"[0, 1, 2]",conv3,0.9340000152587891
143,275,"[0, 1, 2]",fc1,0.5550000071525574
144,275,"[0, 1]",conv1,0.921999990940094
145,275,"[0, 1]",conv2,0.9240000247955322
146,275,"[0, 1]",conv3,0.9129999876022339
147,275,"[0, 1]",fc1,0.5419999957084656
148,275,"[0, 2]",conv1,0.9259999990463257
149,275,"[0, 2]",conv2,0.8999999761581421
150,275,"[0, 2]",conv3,0.8980000019073486
151,275,"[0, 2]",fc1,0.7310000061988831
152,275,"[1, 2]",conv1,0.9350000023841858
153,275,"[1, 2]",conv2,0.9240000247955322
154,275,"[1, 2]",conv3,0.8579999804496765
155,275,"[1, 2]",fc1,0.7450000047683716
156,275,[0],conv1,0.9110000133514404
157,275,[0],conv2,0.8700000047683716
158,275,[0],conv3,0.8880000114440918
159,275,[0],fc1,0.6520000100135803
160,275,[1],conv1,0.9610000252723694
161,275,[1],conv2,0.9660000205039978
162,275,[1],conv3,0.9350000023841858
163,275,[1],fc1,0.6129999756813049
164,275,[2],conv1,0.9509999752044678
165,275,[2],conv2,0.9440000057220459
166,275,[2],conv3,0.9020000100135803
167,275,[2],fc1,0.7730000019073486
168,276,"[0, 1, 2]",conv1,0.9340000152587891
169,276,"[0, 1, 2]",conv2,0.9419999718666077
170,276,"[0, 1, 2]",conv3,0.9340000152587891
171,276,"[0, 1, 2]",fc1,0.6620000004768372
172,276,"[0, 1]",conv1,0.9010000228881836
173,276,"[0, 1]",conv2,0.9100000262260437
174,276,"[0, 1]",conv3,0.8899999856948853
175,276,"[0, 1]",fc1,0.6809999942779541
176,276,"[0, 2]",conv1,0.9340000152587891
177,276,"[0, 2]",conv2,0.9110000133514404
178,276,"[0, 2]",conv3,0.8920000195503235
179,276,"[0, 2]",fc1,0.6159999966621399
180,276,"[1, 2]",conv1,0.9200000166893005
181,276,"[1, 2]",conv2,0.8870000243186951
182,276,"[1, 2]",conv3,0.8529999852180481
183,276,"[1, 2]",fc1,0.6480000019073486
184,276,[0],conv1,0.8889999985694885
185,276,[0],conv2,0.8790000081062317
186,276,[0],conv3,0.8669999837875366
187,276,[0],fc1,0.7080000042915344
188,276,[1],conv1,0.953000009059906
189,276,[1],conv2,0.9470000267028809
190,276,[1],conv3,0.9369999766349792
191,276,[1],fc1,0.671999990940094
192,276,[2],conv1,0.9350000023841858
193,276,[2],conv2,0.9190000295639038
194,276,[2],conv3,0.8980000019073486
195,276,[2],fc1,0.6340000033378601
196,277,"[0, 1, 2]",conv1,0.9110000133514404
197,277,"[0, 1, 2]",conv2,0.9539999961853027
198,277,"[0, 1, 2]",conv3,0.9470000267028809
199,277,"[0, 1, 2]",fc1,0.7160000205039978
200,277,"[0, 1]",conv1,0.9120000004768372
201,277,"[0, 1]",conv2,0.9089999794960022
202,277,"[0, 1]",conv3,0.906000018119812
203,277,"[0, 1]",fc1,0.6919999718666077
204,277,"[0, 2]",conv1,0.9449999928474426
