,model,variables,layer,accuracy
164,37,[1],conv3,0.9520000219345093
165,37,[2],conv1,0.9399999976158142
166,37,[2],conv2,0.9340000152587891
167,37,[2],conv3,0.9110000133514404
168,38,"[0, 1, 2]",conv1,0.9490000009536743
169,38,"[0, 1, 2]",conv2,0.9390000104904175
170,38,"[0, 1, 2]",conv3,0.9729999899864197
171,38,"[0, 1]",conv1,0.9319999814033508
172,38,"[0, 1]",conv2,0.9440000057220459
173,38,"[0, 1]",conv3,0.921999990940094
174,38,"[0, 2]",conv1,0.9440000057220459
175,38,"[0, 2]",conv2,0.9480000138282776
176,38,"[0, 2]",conv3,0.9229999780654907
177,38,"[1, 2]",conv1,0.9419999718666077
178,38,"[1, 2]",conv2,0.9399999976158142
179,38,"[1, 2]",conv3,0.9039999842643738
180,38,[0],conv1,0.9279999732971191
181,38,[0],conv2,0.9330000281333923
182,38,[0],conv3,0.9049999713897705
183,38,[1],conv1,0.9520000219345093
184,38,[1],conv2,0.9509999752044678
185,38,[1],conv3,0.9430000185966492
186,38,[2],conv1,0.9570000171661377
187,38,[2],conv2,0.9509999752044678
188,38,[2],conv3,0.9300000071525574
189,39,"[0, 1, 2]",conv1,0.9300000071525574
190,39,"[0, 1, 2]",conv2,0.9459999799728394
191,39,"[0, 1, 2]",conv3,0.9639999866485596
192,39,"[0, 1]",conv1,0.9309999942779541
193,39,"[0, 1]",conv2,0.9390000104904175
194,39,"[0, 1]",conv3,0.9020000100135803
195,39,"[0, 2]",conv1,0.9359999895095825
196,39,"[0, 2]",conv2,0.9350000023841858
197,39,"[0, 2]",conv3,0.9300000071525574
198,39,"[1, 2]",conv1,0.9480000138282776
199,39,"[1, 2]",conv2,0.9290000200271606
200,39,"[1, 2]",conv3,0.9049999713897705
201,39,[0],conv1,0.921999990940094
202,39,[0],conv2,0.9129999876022339
203,39,[0],conv3,0.9129999876022339
204,39,[1],conv1,0.9490000009536743
205,39,[1],conv2,0.9509999752044678
206,39,[1],conv3,0.9520000219345093
207,39,[2],conv1,0.9409999847412109
208,39,[2],conv2,0.9309999942779541
209,39,[2],conv3,0.9169999957084656
210,40,"[0, 1, 2]",conv1,0.9559999704360962
211,40,"[0, 1, 2]",conv2,0.9620000123977661
212,40,"[0, 1, 2]",conv3,0.9710000157356262
213,40,"[0, 1]",conv1,0.9200000166893005
214,40,"[0, 1]",conv2,0.9229999780654907
215,40,"[0, 1]",conv3,0.9070000052452087
216,40,"[0, 2]",conv1,0.9470000267028809
217,40,"[0, 2]",conv2,0.9449999928474426
218,40,"[0, 2]",conv3,0.9330000281333923
219,40,"[1, 2]",conv1,0.9309999942779541
220,40,"[1, 2]",conv2,0.9330000281333923
221,40,"[1, 2]",conv3,0.9169999957084656
222,40,[0],conv1,0.9200000166893005
223,40,[0],conv2,0.9240000247955322
224,40,[0],conv3,0.9169999957084656
225,40,[1],conv1,0.9660000205039978
226,40,[1],conv2,0.9589999914169312
227,40,[1],conv3,0.9470000267028809
228,40,[2],conv1,0.9309999942779541
229,40,[2],conv2,0.9359999895095825
230,40,[2],conv3,0.9010000228881836
231,41,"[0, 1, 2]",conv1,0.9409999847412109
232,41,"[0, 1, 2]",conv2,0.9559999704360962
233,41,"[0, 1, 2]",conv3,0.9509999752044678
234,41,"[0, 1]",conv1,0.9399999976158142
235,41,"[0, 1]",conv2,0.9369999766349792
236,41,"[0, 1]",conv3,0.925000011920929
237,41,"[0, 2]",conv1,0.9419999718666077
238,41,"[0, 2]",conv2,0.9409999847412109
239,41,"[0, 2]",conv3,0.9160000085830688
240,41,"[1, 2]",conv1,0.9290000200271606
241,41,"[1, 2]",conv2,0.925000011920929
242,41,"[1, 2]",conv3,0.8830000162124634
243,41,[0],conv1,0.9200000166893005
244,41,[0],conv2,0.9129999876022339
245,41,[0],conv3,0.8920000195503235
246,41,[1],conv1,0.9539999961853027
247,41,[1],conv2,0.9660000205039978
248,41,[1],conv3,0.9359999895095825
249,41,[2],conv1,0.9490000009536743
250,41,[2],conv2,0.9340000152587891
251,41,[2],conv3,0.9369999766349792
252,42,"[0, 1, 2]",conv1,0.953000009059906
253,42,"[0, 1, 2]",conv2,0.9610000252723694
254,42,"[0, 1, 2]",conv3,0.949999988079071
255,42,"[0, 1]",conv1,0.9369999766349792
256,42,"[0, 1]",conv2,0.9340000152587891
257,42,"[0, 1]",conv3,0.902999997138977
258,42,"[0, 2]",conv1,0.9480000138282776
259,42,"[0, 2]",conv2,0.9509999752044678
260,42,"[0, 2]",conv3,0.9279999732971191
261,42,"[1, 2]",conv1,0.9330000281333923
262,42,"[1, 2]",conv2,0.9319999814033508
263,42,"[1, 2]",conv3,0.8960000276565552
264,42,[0],conv1,0.9210000038146973
265,42,[0],conv2,0.9160000085830688
266,42,[0],conv3,0.9120000004768372
267,42,[1],conv1,0.9599999785423279
268,42,[1],conv2,0.9670000076293945
269,42,[1],conv3,0.9380000233650208
270,42,[2],conv1,0.9300000071525574
271,42,[2],conv2,0.9369999766349792
272,42,[2],conv3,0.8960000276565552
273,43,"[0, 1, 2]",conv1,0.9570000171661377
274,43,"[0, 1, 2]",conv2,0.9629999995231628
275,43,"[0, 1, 2]",conv3,0.9589999914169312
276,43,"[0, 1]",conv1,0.921999990940094
277,43,"[0, 1]",conv2,0.9279999732971191
278,43,"[0, 1]",conv3,0.8989999890327454
279,43,"[0, 2]",conv1,0.9549999833106995
280,43,"[0, 2]",conv2,0.9570000171661377
281,43,"[0, 2]",conv3,0.9240000247955322
282,43,"[1, 2]",conv1,0.9279999732971191
283,43,"[1, 2]",conv2,0.9330000281333923
284,43,"[1, 2]",conv3,0.9179999828338623
285,43,[0],conv1,0.9449999928474426
286,43,[0],conv2,0.9340000152587891
287,43,[0],conv3,0.9290000200271606
288,43,[1],conv1,0.9639999866485596
289,43,[1],conv2,0.9549999833106995
290,43,[1],conv3,0.9430000185966492
291,43,[2],conv1,0.9490000009536743
292,43,[2],conv2,0.9369999766349792
293,43,[2],conv3,0.8989999890327454
294,44,"[0, 1, 2]",conv1,0.953000009059906
295,44,"[0, 1, 2]",conv2,0.9589999914169312
296,44,"[0, 1, 2]",conv3,0.9440000057220459
297,44,"[0, 1]",conv1,0.9459999799728394
298,44,"[0, 1]",conv2,0.9449999928474426
299,44,"[0, 1]",conv3,0.9229999780654907
300,44,"[0, 2]",conv1,0.949999988079071
301,44,"[0, 2]",conv2,0.9459999799728394
302,44,"[0, 2]",conv3,0.9150000214576721
303,44,"[1, 2]",conv1,0.9399999976158142
304,44,"[1, 2]",conv2,0.9309999942779541
305,44,"[1, 2]",conv3,0.9160000085830688
306,44,[0],conv1,0.8949999809265137
307,44,[0],conv2,0.9190000295639038
308,44,[0],conv3,0.8889999985694885
309,44,[1],conv1,0.9620000123977661
