training objective,layer,variables localized,accuracy,model index,size
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.944000005722046,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9559999704360962,31,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.4839999973773956,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9079999923706056,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9369999766349792,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.890999972820282,31,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.6899999976158142,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9319999814033508,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9449999928474426,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.9300000071525574,31,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.7049999833106995,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9169999957084656,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9049999713897704,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9039999842643738,31,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.5630000233650208,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.912999987602234,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9229999780654908,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9200000166893004,31,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.6669999957084656,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9580000042915344,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.972000002861023,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.949999988079071,31,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.7239999771118164,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9229999780654908,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9240000247955322,31,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.8889999985694885,31,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6499999761581421,31,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9399999976158142,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9390000104904176,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9449999928474426,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7379999756813049,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.912999987602234,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9190000295639038,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9020000100135804,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6819999814033508,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9380000233650208,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9110000133514404,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9190000295639038,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.6660000085830688,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9169999957084656,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.912999987602234,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8809999823570251,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6880000233650208,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.912999987602234,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.8880000114440918,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.871999979019165,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.7680000066757202,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.9679999947547911,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.949999988079071,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9200000166893004,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.7260000109672546,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.944000005722046,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9459999799728394,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9340000152587892,32,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.8050000071525574,32,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.949999988079071,33,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9160000085830688,33,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9340000152587892,33,4
"Equal (0.4, 0.4, 0.4)",,,0.5149999856948853,33,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9139999747276306,33,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9070000052452089,33,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8970000147819519,33,4
"Equal (0.4, 0.4, 0.4)",,,0.6389999985694885,33,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9340000152587892,33,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9319999814033508,33,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.9110000133514404,33,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.6169999837875366,33,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9110000133514404,33,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.930999994277954,33,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8560000061988831,33,4
"Equal (0.4, 0.4, 0.4)",,,0.765999972820282,33,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.9160000085830688,33,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.921999990940094,33,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8999999761581421,33,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.6019999980926514,33,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9649999737739564,33,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9629999995231628,33,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.944000005722046,33,4
"Equal (0.4, 0.4, 0.4)",,Color,0.6919999718666077,33,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9399999976158142,33,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9340000152587892,33,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.9100000262260436,33,4
"Equal (0.4, 0.4, 0.4)",,Area,0.7509999871253967,33,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9470000267028807,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9610000252723694,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9380000233650208,34,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.9089999794960022,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.930999994277954,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9049999713897704,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8930000066757202,34,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7120000123977661,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9480000138282776,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9430000185966492,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.9229999780654908,34,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.5950000286102295,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9229999780654908,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9089999794960022,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9039999842643738,34,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.8090000152587891,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9279999732971193,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9350000023841858,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9279999732971193,34,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.8360000252723694,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.972000002861023,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.949999988079071,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9380000233650208,34,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.5899999737739563,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9350000023841858,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9340000152587892,34,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.9100000262260436,34,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6629999876022339,34,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9449999928474426,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9160000085830688,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9210000038146972,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.8980000019073486,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9240000247955322,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.925000011920929,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9079999923706056,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.5460000038146973,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9190000295639038,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9049999713897704,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9010000228881836,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.7620000243186951,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9399999976158142,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9319999814033508,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8650000095367432,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6399999856948853,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.915000021457672,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.8999999761581421,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.906000018119812,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.6579999923706055,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.9570000171661376,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.9660000205039978,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9520000219345092,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.7440000176429749,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9559999704360962,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9409999847412108,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9049999713897704,35,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.5559999942779541,35,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9430000185966492,36,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9369999766349792,36,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9449999928474426,36,4
"Equal (0.4, 0.4, 0.4)",,,0.8870000243186951,36,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.915000021457672,36,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9089999794960022,36,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8930000066757202,36,4
"Equal (0.4, 0.4, 0.4)",,,0.6859999895095825,36,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9369999766349792,36,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9240000247955322,36,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.902999997138977,36,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7279999852180481,36,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9350000023841858,36,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8999999761581421,36,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8500000238418579,36,4
"Equal (0.4, 0.4, 0.4)",,,0.7300000190734863,36,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.915000021457672,36,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.9089999794960022,36,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8920000195503235,36,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.6430000066757202,36,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.953000009059906,36,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9580000042915344,36,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9399999976158142,36,4
"Equal (0.4, 0.4, 0.4)",,Color,0.625,36,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9449999928474426,36,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9359999895095824,36,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8989999890327454,36,4
"Equal (0.4, 0.4, 0.4)",,Area,0.7239999771118164,36,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9319999814033508,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9539999961853028,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9570000171661376,37,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.9010000228881836,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.915000021457672,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9259999990463256,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9110000133514404,37,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7200000286102295,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9390000104904176,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9470000267028807,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.915000021457672,37,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.7269999980926514,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9179999828338624,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9300000071525574,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8899999856948853,37,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7710000276565552,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9319999814033508,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.912999987602234,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9100000262260436,37,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.8270000219345093,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.975000023841858,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9520000219345092,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9409999847412108,37,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.656000018119812,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9359999895095824,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.953000009059906,37,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.8899999856948853,37,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6299999952316284,37,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9340000152587892,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9330000281333924,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9380000233650208,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.9729999899864196,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9229999780654908,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9259999990463256,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.915000021457672,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7850000262260437,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.944000005722046,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9319999814033508,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.8989999890327454,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.7200000286102295,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9259999990463256,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9020000100135804,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8949999809265137,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6460000276565552,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.912999987602234,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.9070000052452089,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8700000047683716,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.75,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.949999988079071,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.962000012397766,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9279999732971193,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.7639999985694885,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9490000009536744,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9480000138282776,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9169999957084656,38,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.8130000233650208,38,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9409999847412108,39,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9470000267028807,39,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9350000023841858,39,4
"Equal (0.4, 0.4, 0.4)",,,0.5009999871253967,39,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9139999747276306,39,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9110000133514404,39,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8740000128746033,39,4
"Equal (0.4, 0.4, 0.4)",,,0.7490000128746033,39,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.930999994277954,39,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9330000281333924,39,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.912999987602234,39,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7020000219345093,39,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9039999842643738,39,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9120000004768372,39,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8970000147819519,39,4
"Equal (0.4, 0.4, 0.4)",,,0.6710000038146973,39,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.8999999761581421,39,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.878000020980835,39,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8579999804496765,39,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7110000252723694,39,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9549999833106996,39,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9570000171661376,39,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9350000023841858,39,4
"Equal (0.4, 0.4, 0.4)",,Color,0.6769999861717224,39,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9350000023841858,39,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9240000247955322,39,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8920000195503235,39,4
"Equal (0.4, 0.4, 0.4)",,Area,0.7319999933242798,39,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9369999766349792,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9470000267028807,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.953000009059906,40,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7689999938011169,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9139999747276306,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9110000133514404,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8840000033378601,40,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.6650000214576721,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9399999976158142,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9290000200271606,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.9200000166893004,40,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.7570000290870667,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9139999747276306,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9179999828338624,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8949999809265137,40,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7770000100135803,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9160000085830688,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.925000011920929,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9169999957084656,40,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.8190000057220459,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.959999978542328,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.953000009059906,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9319999814033508,40,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.6830000281333923,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9330000281333924,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9300000071525574,40,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.8840000033378601,40,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6850000023841858,40,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9160000085830688,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9419999718666076,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9559999704360962,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.5649999976158142,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9139999747276306,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9300000071525574,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8880000114440918,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7889999747276306,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9259999990463256,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.8980000019073486,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9049999713897704,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.6380000114440918,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9359999895095824,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9100000262260436,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8679999709129333,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6589999794960022,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.902999997138977,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.9010000228881836,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8690000176429749,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.6909999847412109,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.9610000252723694,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.9679999947547911,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9350000023841858,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.6890000104904175,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9359999895095824,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9409999847412108,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9100000262260436,41,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.796999990940094,41,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9200000166893004,42,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9470000267028807,42,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9539999961853028,42,4
"Equal (0.4, 0.4, 0.4)",,,0.5920000076293945,42,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9279999732971193,42,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9139999747276306,42,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8610000014305115,42,4
"Equal (0.4, 0.4, 0.4)",,,0.718999981880188,42,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9449999928474426,42,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.925000011920929,42,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.8980000019073486,42,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.6230000257492065,42,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9089999794960022,42,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.906000018119812,42,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.871999979019165,42,4
"Equal (0.4, 0.4, 0.4)",,,0.6930000185966492,42,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.9020000100135804,42,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.8980000019073486,42,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8669999837875366,42,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7080000042915344,42,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9700000286102296,42,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.944000005722046,42,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9359999895095824,42,4
"Equal (0.4, 0.4, 0.4)",,Color,0.7570000290870667,42,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9470000267028807,42,4
