training objective,layer,variables localized,interchange intervention accuracy,model index
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9290000200271606,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.906000018119812,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9179999828338624,74
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7319999933242798,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9380000233650208,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9169999957084656,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8949999809265137,74
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.656000018119812,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9100000262260436,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8960000276565552,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8740000128746033,74
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.699999988079071,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9399999976158142,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9100000262260436,74
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7879999876022339,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.944000005722046,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9480000138282776,74
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.925000011920929,74
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7929999828338623,74
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9610000252723694,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9330000281333924,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9359999895095824,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5260000228881836,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.921999990940094,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9300000071525574,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.906000018119812,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7789999842643738,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.930999994277954,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9330000281333924,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.912999987602234,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6259999871253967,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9240000247955322,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.915000021457672,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8600000143051147,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7200000286102295,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9229999780654908,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9089999794960022,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8930000066757202,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7429999709129333,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9559999704360962,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9449999928474426,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6299999952316284,75
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9350000023841858,75
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9480000138282776,75
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.9049999713897704,75
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.6039999723434448,75
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9549999833106996,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.953000009059906,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9490000009536744,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.6520000100135803,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9039999842643738,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9279999732971193,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.890999972820282,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6629999876022339,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9419999718666076,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9039999842643738,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.675000011920929,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9390000104904176,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9290000200271606,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9010000228881836,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.8040000200271606,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9459999799728394,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9380000233650208,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9200000166893004,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7720000147819519,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9700000286102296,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9700000286102296,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9229999780654908,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.746999979019165,76
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9330000281333924,76
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9490000009536744,76
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8830000162124634,76
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7419999837875366,76
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9169999957084656,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9350000023841858,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.962000012397766,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5230000019073486,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9160000085830688,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.912999987602234,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9200000166893004,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.8029999732971191,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9290000200271606,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.915000021457672,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.753000020980835,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9269999861717224,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8849999904632568,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7170000076293945,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9139999747276306,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.9200000166893004,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8930000066757202,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6710000038146973,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9580000042915344,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9670000076293944,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9409999847412108,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7559999823570251,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9490000009536744,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9430000185966492,77
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9300000071525574,77
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.6269999742507935,77
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9330000281333924,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.949999988079071,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9490000009536744,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.9430000185966492,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9190000295639038,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.915000021457672,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8920000195503235,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7059999704360962,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9380000233650208,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9409999847412108,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8820000290870667,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6830000281333923,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.921999990940094,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8989999890327454,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.890999972820282,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6430000066757202,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.8980000019073486,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8870000243186951,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8809999823570251,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.6520000100135803,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9629999995231628,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9290000200271606,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6620000004768372,78
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9409999847412108,78
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9340000152587892,78
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8970000147819519,78
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7089999914169312,78
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9470000267028807,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9480000138282776,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.949999988079071,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5139999985694885,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9020000100135804,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.915000021457672,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.890999972820282,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6549999713897705,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9559999704360962,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9419999718666076,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8989999890327454,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.625,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9359999895095824,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9010000228881836,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7329999804496765,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9300000071525574,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9169999957084656,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9259999990463256,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.6399999856948853,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9700000286102296,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9570000171661376,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9549999833106996,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7350000143051147,79
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.930999994277954,79
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.921999990940094,79
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.878000020980835,79
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7170000076293945,79
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9300000071525574,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9509999752044678,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9409999847412108,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.7829999923706055,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9169999957084656,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.8889999985694885,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9010000228881836,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.6660000085830688,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9240000247955322,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9259999990463256,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8769999742507935,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6069999933242798,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.921999990940094,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.912999987602234,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.875,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6980000138282776,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.8939999938011169,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8880000114440918,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8640000224113464,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7369999885559082,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.959999978542328,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9549999833106996,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9229999780654908,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7649999856948853,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.953000009059906,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858,80
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9160000085830688,80
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7279999852180481,80
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9399999976158142,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9449999928474426,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9459999799728394,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.9670000076293944,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.8870000243186951,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9020000100135804,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8809999823570251,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7459999918937683,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.921999990940094,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9419999718666076,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.921999990940094,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7459999918937683,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9169999957084656,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9190000295639038,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.875,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7369999885559082,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9089999794960022,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8949999809265137,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8880000114440918,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7360000014305115,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9509999752044678,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9679999947547911,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9359999895095824,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7279999852180481,81
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9480000138282776,81
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9100000262260436,81
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8700000047683716,81
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7269999980926514,81
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9380000233650208,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9350000023841858,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.959999978542328,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.6159999966621399,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.925000011920929,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8949999809265137,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6650000214576721,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9570000171661376,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9490000009536744,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9269999861717224,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.7910000085830688,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9229999780654908,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9269999861717224,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.890999972820282,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.597000002861023,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9190000295639038,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9300000071525574,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9110000133514404,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7039999961853027,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9679999947547911,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9670000076293944,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.949999988079071,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.6209999918937683,82
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9380000233650208,82
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9210000038146972,82
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8999999761581421,82
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.671999990940094,82
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9399999976158142,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9330000281333924,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9449999928474426,83
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5389999747276306,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9409999847412108,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9169999957084656,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9020000100135804,83
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.6489999890327454,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858,83
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9169999957084656,83
